project_name,url,project_id,sdtc,mcpc,mcve,star_number,commit_count,files,lines,pull_requests,github_repo_creation,earliest_commit,most_recent_commit,committer_count,author_count,domainant_domain,dominant_domain_committer_commits,dominant_domain_author_commits,dominant_domain_committers,dominant_domain_authors,cik,fg500,sec10k,sec20f,owner_login,company_name,owner_company,license,names,TypeScript,JavaScript,CSS,Inno Setup,HTML,Shell,Batchfile,SCSS,PowerShell,Groovy,C++,Python,Makefile,Perl,Ruby,Objective-C++,Objective-C,Clojure,Handlebars,Less,PHP,Julia,Visual Basic .NET,C,Pug,Go,F#,Java,CoffeeScript,Rust,C#,Dockerfile,R,Roff,ShaderLab,Swift,Lua,HLSL,Hack,CMake,LLVM,Emacs Lisp,Vim script,DTrace,D,sed,Kotlin,Smarty,Mustache,Vim Snippet,Vue,NASL,Cuda,Assembly,Starlark,PureBasic,Metal,GLSL,Yacc,Standard ML,Scala,HiveQL,PLpgSQL,q,ANTLR,Jupyter Notebook,Thrift,ReScript,XSLT,OCaml,Liquid,HCL,SWIG,MATLAB,Awk,Rich Text Format,PostScript,VBScript,ActionScript,DIGITAL Command Language,Prolog,FreeMarker,Gherkin,Sass,NSIS,EJS,GDB,Puppet,SMT,AL,M4,OpenEdge ABL,GAP,Brainfuck,Erlang,Haml,TSQL,Stylus,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14
flow,https://github.com/facebook/flow,13407509,t,f,f,20769,10141,11291.0,816958.0,1735,2014-10-28 17:17:45,2014-11-15 23:54:11,2019-05-31 20:53:21,242,799,fb.com,3577,4403,26,272,,,,,facebook,,,MIT,[],,3014365.0,,,35768.0,268758.0,,45501.0,,,5813.0,3830.0,27554.0,,26189.0,,,,,,,,,112238.0,,,,,,,,4611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17465.0,,,,,,,,,,8200823.0,17387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,29,37,44,33,35,47,31,21,30,41,29,29,15,10,12,29,14,8,25,9,57,22,27,15,18,21,26,32,41,28,30,12,16,12,1,17,34,22,10,14,13,25,16,22,38,36,42,13,29,35,16
fastjson,https://github.com/alibaba/fastjson,2922319,t,f,f,20200,3697,2960.0,255084.0,324,2011-11-03 06:58:52,2011-07-31 10:03:29,2019-05-29 07:31:28,105,116,alibaba-inc.com,1668,1808,7,9,,,,,alibaba,,,Apache-2.0,"['fastjson', 'java', 'android', 'json', 'json-parser', 'json-serialization', 'json-serializer', 'serialization', 'deserialization', 'best-performance']",,3661.0,,,,414.0,,,,,,,,,,,,,,,,,,,,,,7321824.0,,,,,,,,,,,,,,,,,,,5407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,5,2,1,1,23,10,9,4,10,18,6,32,6,8,5,5,8,4,0,4,3,3,3,3,3,4,9,14,2,6,6,1,2,0,0,0,0,0,1,2,1,0,0,3,0,0,0,1,0,0
fastText,https://github.com/facebookresearch/fastText,42777340,t,f,f,19009,321,515.0,42431.0,162,2016-07-16 13:38:42,2016-07-21 16:06:29,2019-04-29 08:09:30,29,55,fb.com,65,229,13,11,,,,,facebookresearch,,,MIT,[],,178353.0,35247.0,,1200417.0,35007.0,,,,,183967.0,111577.0,4217.0,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,2214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,0,0,4,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
material2,https://github.com/angular/material2,30500617,t,f,f,18908,12509,,,6627,2016-01-04 18:50:02,2016-01-04 18:50:02,2019-04-25 16:42:54,241,475,google.com,7356,3939,16,353,1652044.0,f,t,f,angular,Alphabet Inc.,,MIT,"['angular', 'material-design', 'material', 'angular-components']",10122269.0,108938.0,45704.0,,689954.0,24185.0,,690133.0,,,,,,,,,,,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,23,32,10,49,12,36,23,26,14,26,54,51,29,42,58,31,34,39,28,49,43,22,20,20,26,20,31,27,28,21,28,40,27,29,21,30,23,29,0,2,68,41,21,39,38,37,29,39,38,30,20
polymer,https://github.com/Polymer/polymer,3722347,t,f,f,18658,7330,195.0,84748.0,1270,2012-08-23 20:56:30,2013-01-24 00:11:23,2019-05-31 23:38:05,150,181,google.com,4189,4571,22,25,1652044.0,f,t,f,Polymer,Alphabet Inc.,,NOASSERTION,"['polymer', 'web-components']",,705208.0,564.0,,1223324.0,1781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,2,2,2,12,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NativeScript,https://github.com/NativeScript/NativeScript,16922941,t,f,f,17870,9679,3058.0,1896977.0,2295,2015-03-01 09:47:08,2014-03-12 15:26:58,2019-05-31 16:16:33,126,182,telerik.com,2242,2664,11,78,,,,,NativeScript,,,Apache-2.0,"['nativescript', 'android', 'ios', 'angular', 'vue', 'flexbox', 'css', 'typescript', 'javascript', 'cross-platform']",3888280.0,306579.0,38802.0,,1307.0,13115.0,198.0,65.0,,,,,162.0,,289.0,,30811.0,,,,,,,,,,,538036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,4,2,1,0,1,0,0,0,10,4,9,2,3,7,0,7,0,2,2,1,10,5,16,2,15,10,6,3,3,5,1,14,3,0,0,0,4,0,13,4,4,8,19,14,3,3,8,3,0,0
istio,https://github.com/istio/istio,51981313,t,f,f,17683,21090,4412.0,793105.0,9038,2016-11-18 23:57:21,2016-11-19 00:40:18,2019-05-31 22:36:28,331,481,google.com,4465,6401,45,159,1652044.0,f,t,f,istio,Alphabet Inc.,,Apache-2.0,"['microservices', 'service-mesh', 'lyft-envoy', 'kubernetes', 'api-management', 'circuit-breaker', 'polyglot-microservices', 'enforce-policies', 'proxies', 'microservice', 'envoy', 'consul', 'nomad', 'request-routing', 'resiliency', 'fault-injection']",,,,,,129241.0,,,,,,11895.0,78607.0,,317.0,,,,,,,,,,,9830751.0,,,,,,1212.0,,,,,,,,,,,,,,,,5836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,72,68,65,90,78,68,56,50,55,86,52,59,91,42,99,93,104,59,87,85,72,63,81,63,66,58,65,54,66,74,71,69,88,67,38,52,51,46,17,25,63,75,72,63,42,40,49,63,75,61,18
terraform,https://github.com/hashicorp/terraform,11065419,f,t,t,17540,42410,6593.0,1620634.0,8696,2014-03-13 22:25:48,2014-05-21 21:28:53,2019-05-31 21:20:52,1061,1583,hashicorp.com,4581,4796,9,9,,,,,hashicorp,,,MPL-2.0,"['graph', 'infrastructure-as-code', 'terraform', 'cloud', 'cloud-management']",,,,,50798.0,9528.0,,,,,,,1839.0,,,,,,,,,,,,,7856573.0,,,,,,805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,47,68,49,34,44,21,46,37,31,33,41,43,44,48,26,22,19,24,10,13,41,26,32,53,50,31,82,75,62,59,59,57,25,23,52,17,83,37,24,1,1,23,59,20,16,18,34,41,35,4,17,4
nightmare,https://github.com/segmentio/nightmare,9039695,f,t,t,17401,1084,53.0,10853.0,373,2014-04-05 22:19:51,2014-04-06 02:16:38,2019-04-27 06:40:39,111,135,segment.com,0,0,0,0,,,,,segmentio,,,,"['electron', 'headless-chrome', 'browser', 'phantomjs', 'chrome']",,146799.0,42.0,,,2211.0,,,,,,,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTK,https://github.com/Microsoft/CNTK,31340100,t,t,t,17334,28417,3091.0,8400915.0,505,2015-11-26 09:52:06,2015-07-16 18:35:35,2019-05-31 20:35:26,266,318,microsoft.com,13304,13496,86,122,789019.0,t,t,f,Microsoft,MICROSOFT CORPORATION,,NOASSERTION,"['cognitive-toolkit', 'cntk', 'deep-learning', 'machine-learning', 'deep-neural-networks', 'neural-network', 'distributed', 'python', 'c-plus-plus', 'c-sharp', 'java']",,,,,2164.0,176846.0,43142.0,,131647.0,,10911422.0,2396698.0,84671.0,12728.0,,,,,,,,,,57663.0,,,,12743.0,,,201374.0,21103.0,,,,,,,,35987.0,,,,,,,,,,,,,762435.0,,,,,,,,,,,,,4765537.0,,,,,,,167469.0,2932.0,675.0,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
